2023-01-13 23:11:58,535 -+- PEER12_LOGGER -+- INFO -+- Start logging
2023-01-13 23:11:58,535 -+- PEER12_LOGGER -+- INFO -+- Network simulator activated, running at ('127.0.0.1', 40856).
2023-01-13 23:12:00,399 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len36
2023-01-13 23:12:00,399 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len36
2023-01-13 23:12:00,399 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len36
2023-01-13 23:12:00,399 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 23:12:00,400 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 23:12:00,400 -+- PEER12_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 23:12:00,401 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len36
2023-01-13 23:12:00,401 -+- PEER12_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len36
2023-01-13 23:12:00,403 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type2 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-13 23:12:00,403 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq1, ack0, pkt_len1040
2023-01-13 23:12:00,403 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type2 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len36
2023-01-13 23:12:00,403 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq1, ack0, pkt_len1040
2023-01-13 23:12:00,404 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq33554432, ack1, pkt_len16
2023-01-13 23:12:00,404 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq2, ack0, pkt_len1040
2023-01-13 23:12:00,404 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq3, ack0, pkt_len1040
2023-01-13 23:12:00,405 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq33554432, ack1, pkt_len16
2023-01-13 23:12:00,405 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq2, ack0, pkt_len1040
2023-01-13 23:12:00,405 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq3, ack0, pkt_len1040
2023-01-13 23:12:00,405 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq4, ack0, pkt_len1040
2023-01-13 23:12:00,408 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq50331648, ack2, pkt_len16
2023-01-13 23:12:00,408 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq67108864, ack3, pkt_len16
2023-01-13 23:12:00,408 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq4, ack0, pkt_len1040
2023-01-13 23:12:00,408 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq5, ack0, pkt_len1040
2023-01-13 23:12:00,409 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq6, ack0, pkt_len1040
2023-01-13 23:12:00,409 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq7, ack0, pkt_len1040
2023-01-13 23:12:00,409 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq8, ack0, pkt_len1040
2023-01-13 23:12:00,410 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq50331648, ack2, pkt_len16
2023-01-13 23:12:00,410 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq67108864, ack3, pkt_len16
2023-01-13 23:12:00,410 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq83886080, ack4, pkt_len16
2023-01-13 23:12:00,410 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq5, ack0, pkt_len1040
2023-01-13 23:12:00,410 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq6, ack0, pkt_len1040
2023-01-13 23:12:00,410 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq7, ack0, pkt_len1040
2023-01-13 23:12:00,410 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq8, ack0, pkt_len1040
2023-01-13 23:12:00,411 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq9, ack0, pkt_len1040
2023-01-13 23:12:00,411 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq10, ack0, pkt_len1040
2023-01-13 23:12:00,411 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq11, ack0, pkt_len1040
2023-01-13 23:12:00,411 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq12, ack0, pkt_len1040
2023-01-13 23:12:00,417 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq83886080, ack4, pkt_len16
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq100663296, ack5, pkt_len16
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq117440512, ack6, pkt_len16
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq134217728, ack7, pkt_len16
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq150994944, ack8, pkt_len16
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq9, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq10, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq11, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq12, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq13, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq14, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq15, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq16, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq17, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq18, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq19, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq20, ack0, pkt_len1040
2023-01-13 23:12:00,418 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq21, ack0, pkt_len1040
2023-01-13 23:12:00,420 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq100663296, ack5, pkt_len16
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq117440512, ack6, pkt_len16
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq134217728, ack7, pkt_len16
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq150994944, ack8, pkt_len16
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq167772160, ack9, pkt_len16
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq184549376, ack10, pkt_len16
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq201326592, ack11, pkt_len16
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq218103808, ack12, pkt_len16
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq13, ack0, pkt_len1040
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq14, ack0, pkt_len1040
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq15, ack0, pkt_len1040
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq16, ack0, pkt_len1040
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq17, ack0, pkt_len1040
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq18, ack0, pkt_len1040
2023-01-13 23:12:00,421 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq19, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq20, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq21, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq22, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq23, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq24, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq25, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq26, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq27, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq28, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq29, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq30, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq31, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq32, ack0, pkt_len1040
2023-01-13 23:12:00,422 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq33, ack0, pkt_len1040
2023-01-13 23:12:00,438 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq167772160, ack9, pkt_len16
2023-01-13 23:12:00,438 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq184549376, ack10, pkt_len16
2023-01-13 23:12:00,438 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq201326592, ack11, pkt_len16
2023-01-13 23:12:00,438 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq218103808, ack12, pkt_len16
2023-01-13 23:12:00,438 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq234881024, ack13, pkt_len16
2023-01-13 23:12:00,438 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq251658240, ack14, pkt_len16
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq268435456, ack15, pkt_len16
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq285212672, ack16, pkt_len16
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq301989888, ack17, pkt_len16
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq318767104, ack18, pkt_len16
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq335544320, ack19, pkt_len16
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq352321536, ack20, pkt_len16
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq369098752, ack21, pkt_len16
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq22, ack0, pkt_len1040
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq23, ack0, pkt_len1040
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq24, ack0, pkt_len1040
2023-01-13 23:12:00,439 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq25, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq26, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq27, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq28, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq29, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq30, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq31, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq32, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq33, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq34, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq35, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq36, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq37, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq38, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq39, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq40, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq41, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq42, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq43, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq44, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq45, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq46, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq47, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq48, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq49, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq50, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq51, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq52, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq53, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq54, ack0, pkt_len1040
2023-01-13 23:12:00,440 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq55, ack0, pkt_len1040
2023-01-13 23:12:00,444 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq234881024, ack13, pkt_len16
2023-01-13 23:12:00,445 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq251658240, ack14, pkt_len16
2023-01-13 23:12:00,445 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq268435456, ack15, pkt_len16
2023-01-13 23:12:00,445 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq285212672, ack16, pkt_len16
2023-01-13 23:12:00,446 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq301989888, ack17, pkt_len16
2023-01-13 23:12:00,446 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq318767104, ack18, pkt_len16
2023-01-13 23:12:00,446 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq335544320, ack19, pkt_len16
2023-01-13 23:12:00,446 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq352321536, ack20, pkt_len16
2023-01-13 23:12:00,446 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq369098752, ack21, pkt_len16
2023-01-13 23:12:00,446 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq385875968, ack22, pkt_len16
2023-01-13 23:12:00,447 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq402653184, ack23, pkt_len16
2023-01-13 23:12:00,447 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq419430400, ack24, pkt_len16
2023-01-13 23:12:00,447 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq436207616, ack25, pkt_len16
2023-01-13 23:12:00,447 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq452984832, ack26, pkt_len16
2023-01-13 23:12:00,447 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq469762048, ack27, pkt_len16
2023-01-13 23:12:00,447 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq486539264, ack28, pkt_len16
2023-01-13 23:12:00,447 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq503316480, ack29, pkt_len16
2023-01-13 23:12:00,448 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq520093696, ack30, pkt_len16
2023-01-13 23:12:00,448 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq536870912, ack31, pkt_len16
2023-01-13 23:12:00,448 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq553648128, ack32, pkt_len16
2023-01-13 23:12:00,448 -+- PEER12_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48008) via spiffy, seq570425344, ack33, pkt_len16
2023-01-13 23:12:00,448 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq34, ack0, pkt_len1040
2023-01-13 23:12:00,448 -+- PEER12_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48008) via spiffy, seq35, ack0, pkt_len1040
